Image,Input_Image_Size_MB,Original_Resolution,Output_Resolution,Megapixels,baseline_ms,openmp_ms,openmp_speedup,cuda_ms,cuda_speedup,mpi_ms,mpi_speedup,baseline_throughput_MPps,openmp_throughput_MPps,cuda_throughput_MPps,mpi_throughput_MPps
0069.jpg,71.946,6688x3760,3344x1880,25.147,1514.6266666666668,113.76983333333332,14.243,20.978066666666667,73.317,101.35173333333334,15.218333333333334,16.603,221.034,1198.728,248.116
0070.jpg,72.598,6720x3776,3360x1888,25.375,1571.88,139.8127,11.606333333333334,22.322833333333335,71.19966666666666,97.2863,16.653666666666666,16.143,181.493,1136.728,260.828
0071.jpg,73.736,6768x3808,3384x1904,25.773,1557.2933333333333,88.65473333333334,17.970333333333333,22.0114,71.45299999999999,108.53743333333334,15.167666666666667,16.55,290.712,1170.893,237.457
0072.jpg,74.396,6800x3824,3400x1912,26.003,1739.71,119.21233333333333,16.18466666666667,23.4465,74.32966666666665,104.52410000000002,16.784000000000002,14.947,218.123,1109.035,248.775
0073.jpg,75.548,6848x3856,3424x1928,26.406,1678.2466666666667,121.64829999999999,14.482333333333335,22.680899999999998,74.19266666666667,98.71840000000002,17.005666666666666,15.734,217.068,1164.24,267.488
0074.jpg,76.393,6896x3872,3448x1936,26.701,1608.4833333333333,113.39370000000001,14.699999999999998,22.764133333333334,71.32966666666667,134.23673333333332,12.558,16.6,235.472,1172.942,198.91
0075.jpg,77.382,6928x3904,3464x1952,27.047,1592.14,115.37599999999999,14.785333333333334,23.722266666666666,67.32799999999999,124.31849999999999,13.759,16.988,234.425,1140.152,217.562
0076.jpg,78.237,6976x3920,3488x1960,27.346,1646.92,113.0228,15.135666666666665,22.39276666666667,76.462,117.75453333333333,14.513,16.604,241.951,1221.198,232.229
0077.jpg,78.917,7008x3936,3504x1968,27.583,1605.7333333333333,127.11726666666665,13.114666666666666,21.9275,75.92533333333334,122.76310000000001,13.659666666666666,17.178,216.989,1257.918,224.685
0078.jpg,80.104,7056x3968,3528x1984,27.998,1670.1200000000001,141.89476666666667,13.014000000000001,22.3717,76.99533333333333,131.8291,13.133333333333333,16.764,197.315,1251.492,212.381
0079.jpg,80.791,7088x3984,3544x1992,28.239,1675.9166666666667,146.2000666666667,13.042,23.1468,75.18466666666667,136.836,12.825666666666669,16.85,193.153,1219.996,206.371
0080.jpg,81.992,7136x4016,3568x2008,28.658,1681.6933333333334,117.40733333333333,14.396,23.463333333333335,72.61233333333332,127.522,13.884,17.041,244.09,1221.395,224.73
0081.jpg,82.688,7168x4032,3584x2016,28.901,1685.49,133.68223333333333,13.500333333333336,23.42663333333333,74.54366666666667,134.04133333333334,12.945666666666668,17.147,216.192,1233.681,215.613
0082.jpg,83.572,7216x4048,3608x2024,29.21,1711.5233333333333,132.86323333333334,14.473999999999998,23.4911,75.37866666666666,114.42436666666667,15.427666666666667,17.067,219.85,1243.45,255.278
0083.jpg,84.606,7248x4080,3624x2040,29.572,1768.8733333333332,146.6865,14.672333333333333,22.6416,81.21233333333333,137.49633333333335,13.039666666666667,16.718,201.6,1306.091,215.075
